year,weeknum,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_recovered,total_recovered,new_death,total_death,case_foreign,case_prison,case_walkin,case_new_prev,case_new_diff,death_new_prev,death_new_diff
2022,2,อุดรธานี,1035,1882,1031,1872,0,0,0,0,,,,,,,
2022,2,อุตรดิตถ์,103,180,102,179,0,0,1,2,,,,,,,
2022,2,อุทัยธานี,109,241,109,241,0,0,1,2,,,,,,,
2022,2,อุบลราชธานี,2310,5054,2306,5044,0,0,2,5,,,,,,,
2022,2,เชียงราย,327,501,321,482,0,0,3,7,,,,,,,
2022,2,เชียงใหม่,1441,2935,1417,2895,0,0,7,14,,,,,,,
2022,2,เพชรบุรี,269,423,263,413,0,0,1,2,,,,,,,
2022,2,เพชรบูรณ์,279,497,279,496,0,0,1,1,,,,,,,
2022,2,เลย,317,406,317,406,0,0,1,3,,,,,,,
2022,2,แพร่,109,180,109,179,0,0,1,1,,,,,,,
2022,2,แม่ฮ่องสอน,120,243,120,243,0,0,3,5,,,,,,,
2022,2,ไม่ระบุ,0,0,0,0,0,0,0,0,,,,,,,
2022,3,กระบี่,402,1098,370,946,0,0,2,5,,,,,,,
2022,3,กรุงเทพมหานคร,7262,16294,7037,15526,0,0,14,34,,,,,,,
2022,3,กาญจนบุรี,596,1237,596,1236,0,0,2,5,,,,,,,
2022,3,กาฬสินธุ์,331,1148,331,1146,0,0,2,2,,,,,,,
2022,3,กำแพงเพชร,215,563,213,560,0,0,0,2,,,,,,,
2022,3,ขอนแก่น,2022,5367,2018,5353,0,0,3,7,,,,,,,
2022,3,จันทบุรี,470,1066,470,1064,0,0,2,4,,,,,,,
2022,3,ฉะเชิงเทรา,591,1569,591,1564,0,0,0,3,,,,,,,
2022,3,ชลบุรี,3670,14604,3530,13928,0,0,3,13,,,,,,,
2022,3,ชัยนาท,114,314,114,314,0,0,0,0,,,,,,,
2022,3,ชัยภูมิ,266,774,266,773,0,0,0,3,,,,,,,
2022,3,ชุมพร,438,1010,438,1010,0,0,1,1,,,,,,,
2022,3,ตรัง,201,726,201,719,0,0,1,7,,,,,,,
2022,3,ตราด,93,619,83,564,0,0,1,2,,,,,,,
2022,3,ตาก,216,720,214,715,0,0,4,8,,,,,,,
2022,3,ทั้งประเทศ,53406,146379,51992,141096,47440,96070,103,321,1414,271,51306,53087,319,102,1
2022,3,นครนายก,249,673,249,673,0,0,2,2,,,,,,,
2022,3,นครปฐม,826,1635,826,1635,0,0,0,2,,,,,,,
2022,3,นครพนม,204,682,204,682,0,0,0,0,,,,,,,
2022,3,นครราชสีมา,1065,2376,1065,2373,0,0,3,17,,,,,,,
2022,3,นครศรีธรรมราช,1072,3518,1072,3517,0,0,1,4,,,,,,,
2022,3,นครสวรรค์,487,1248,487,1244,0,0,0,6,,,,,,,
2022,3,นนทบุรี,2477,5985,2473,5977,0,0,1,1,,,,,,,
2022,3,นราธิวาส,80,193,80,191,0,0,0,0,,,,,,,
2022,3,น่าน,378,1087,378,1087,0,0,0,0,,,,,,,
2022,3,บึงกาฬ,105,380,105,378,0,0,0,1,,,,,,,
2022,3,บุรีรัมย์,813,2482,813,2477,0,0,3,6,,,,,,,
2022,3,ปทุมธานี,1690,3278,1686,3270,0,0,1,1,,,,,,,
2022,3,ประจวบคีรีขันธ์,517,1425,495,1336,0,0,2,2,,,,,,,
2022,3,ปราจีนบุรี,334,953,333,952,0,0,2,4,,,,,,,
2022,3,ปัตตานี,108,410,108,408,0,0,1,8,,,,,,,
2022,3,พระนครศรีอยุธยา,691,1384,691,1384,0,0,0,2,,,,,,,
2022,3,พะเยา,162,676,162,676,0,0,0,0,,,,,,,
2022,3,พังงา,610,1412,581,1269,0,0,1,2,,,,,,,
2022,3,พัทลุง,573,1478,573,1478,0,0,2,4,,,,,,,
2022,3,พิจิตร,77,274,77,274,0,0,0,0,,,,,,,
2022,3,พิษณุโลก,435,1320,435,1320,0,0,5,11,,,,,,,
2022,3,ภูเก็ต,3499,9760,2673,7166,0,0,3,5,,,,,,,
2022,3,มหาสารคาม,513,1510,512,1503,0,0,0,0,,,,,,,
2022,3,มุกดาหาร,282,667,282,667,0,0,0,0,,,,,,,
2022,3,ยะลา,118,339,118,339,0,0,1,8,,,,,,,
2022,3,ยโสธร,145,603,145,602,0,0,0,0,,,,,,,
2022,3,ร้อยเอ็ด,522,1353,520,1349,0,0,0,4,,,,,,,
2022,3,ระนอง,89,265,89,259,0,0,0,0,,,,,,,
2022,3,ระยอง,972,2810,969,2788,0,0,2,4,,,,,,,
2022,3,ราชบุรี,534,1039,533,1038,0,0,1,7,,,,,,,
2022,3,ลพบุรี,704,1388,704,1387,0,0,0,4,,,,,,,
2022,3,ลำปาง,186,818,186,817,0,0,0,4,,,,,,,
2022,3,ลำพูน,109,255,109,254,0,0,0,0,,,,,,,
2022,3,ศรีสะเกษ,712,1944,711,1940,0,0,3,5,,,,,,,
2022,3,สกลนคร,375,917,375,915,0,0,0,0,,,,,,,
2022,3,สงขลา,522,1586,521,1581,0,0,5,13,,,,,,,
2022,3,สตูล,86,362,86,351,0,0,3,14,,,,,,,
2022,3,สมุทรปราการ,4643,11594,4612,11378,0,0,3,5,,,,,,,
2022,3,สมุทรสงคราม,108,248,108,248,0,0,0,0,,,,,,,
2022,3,สมุทรสาคร,933,2143,933,2142,0,0,0,1,,,,,,,
2022,3,สระบุรี,490,1249,489,1248,0,0,0,4,,,,,,,
2022,3,สระแก้ว,410,884,401,870,0,0,2,2,,,,,,,
2022,3,สิงห์บุรี,46,170,46,169,0,0,0,1,,,,,,,
2022,3,สุพรรณบุรี,318,735,317,730,0,0,1,3,,,,,,,
2022,3,สุราษฎร์ธานี,833,2441,802,2157,0,0,1,5,,,,,,,
2022,3,สุรินทร์,660,1502,658,1485,0,0,0,0,,,,,,,
2022,3,สุโขทัย,137,305,137,303,0,0,0,1,,,,,,,
2022,3,หนองคาย,434,1075,434,1074,0,0,0,0,,,,,,,
2022,3,หนองบัวลำภู,215,519,215,519,0,0,0,0,,,,,,,
2022,3,อ่างทอง,100,254,100,254,0,0,0,1,,,,,,,
2022,3,อำนาจเจริญ,116,369,115,367,0,0,0,0,,,,,,,
2022,3,อุดรธานี,630,2512,628,2500,0,0,5,5,,,,,,,
2022,3,อุตรดิตถ์,103,283,103,282,0,0,0,2,,,,,,,
2022,3,อุทัยธานี,77,318,77,318,0,0,1,3,,,,,,,
2022,3,อุบลราชธานี,1325,6379,1320,6364,0,0,3,8,,,,,,,
2022,3,เชียงราย,221,722,215,697,0,0,2,9,,,,,,,
2022,3,เชียงใหม่,1075,4010,1065,3960,0,0,3,17,,,,,,,
2022,3,เพชรบุรี,340,763,339,752,0,0,1,3,,,,,,,
2022,3,เพชรบูรณ์,258,755,256,752,0,0,2,3,,,,,,,
2022,3,เลย,514,920,513,919,0,0,0,3,,,,,,,
2022,3,แพร่,132,312,131,310,0,0,1,2,,,,,,,
2022,3,แม่ฮ่องสอน,80,323,80,323,0,0,1,6,,,,,,,
2022,3,ไม่ระบุ,0,0,0,0,0,0,0,0,,,,,,,
2022,4,กระบี่,400,1498,370,1316,0,0,1,6,,,,,,,
2022,4,กรุงเทพมหานคร,9608,25902,9464,24990,0,0,16,50,,,,,,,
2022,4,กาญจนบุรี,538,1775,538,1774,0,0,2,7,,,,,,,
2022,4,กาฬสินธุ์,391,1539,391,1537,0,0,7,9,,,,,,,
2022,4,กำแพงเพชร,206,769,206,766,0,0,0,2,,,,,,,
2022,4,ขอนแก่น,1564,6931,1564,6917,0,0,2,9,,,,,,,
2022,4,จันทบุรี,398,1464,397,1461,0,0,0,4,,,,,,,
2022,4,ฉะเชิงเทรา,775,2344,775,2339,0,0,1,4,,,,,,,
2022,4,ชลบุรี,2617,17221,2534,16462,0,0,7,20,,,,,,,
2022,4,ชัยนาท,95,409,95,409,0,0,0,0,,,,,,,
2022,4,ชัยภูมิ,414,1188,414,1187,0,0,2,5,,,,,,,
2022,4,ชุมพร,413,1423,413,1423,0,0,3,4,,,,,,,
2022,4,ตรัง,239,965,239,958,0,0,1,8,,,,,,,
2022,4,ตราด,77,696,76,640,0,0,1,3,,,,,,,
2022,4,ตาก,182,902,178,893,0,0,0,8,,,,,,,
2022,4,ทั้งประเทศ,54276,200655,52935,194031,53442,149512,126,447,1341,408,52264,53770,506,126,0
2022,4,นครนายก,229,902,229,902,0,0,0,2,,,,,,,
2022,4,นครปฐม,762,2397,762,2397,0,0,1,3,,,,,,,
2022,4,นครพนม,168,850,167,849,0,0,0,0,,,,,,,
2022,4,นครราชสีมา,1036,3412,1036,3409,0,0,2,19,,,,,,,
2022,4,นครศรีธรรมราช,914,4432,914,4431,0,0,4,8,,,,,,,
2022,4,นครสวรรค์,456,1704,454,1698,0,0,0,6,,,,,,,
2022,4,นนทบุรี,2766,8751,2756,8733,0,0,1,2,,,,,,,
2022,4,นราธิวาส,69,262,69,260,0,0,0,0,,,,,,,
2022,4,น่าน,319,1406,319,1406,0,0,1,1,,,,,,,
2022,4,บึงกาฬ,67,447,65,443,0,0,0,1,,,,,,,
